iter	MultiClass
0	3.869871461
1	3.86796878
2	3.86690781
3	3.865506206
4	3.863915107
5	3.862298311
6	3.860482426
7	3.859315218
8	3.857881904
9	3.85624065
10	3.855006507
11	3.853540547
12	3.851676203
13	3.850087188
14	3.848682028
15	3.847089136
16	3.845929058
17	3.844093645
18	3.842639336
19	3.841320554
20	3.840074522
21	3.838905288
22	3.83712139
23	3.835658536
24	3.83418835
25	3.832508077
26	3.830867823
27	3.829110435
28	3.827732636
29	3.825883385
30	3.824401209
31	3.822485602
32	3.820950704
33	3.819710009
34	3.818194672
35	3.816522313
36	3.815231354
37	3.813638738
38	3.812256658
39	3.810827706
40	3.809363649
41	3.80741665
42	3.805846615
43	3.803893932
44	3.802937174
45	3.801577153
46	3.800489167
47	3.798803285
48	3.797681267
49	3.795912536
