iter	Passed	Remaining
0	20	1014
1	35	863
2	48	753
3	66	762
4	83	747
5	97	713
6	111	686
7	124	652
8	133	607
9	143	575
10	153	542
11	161	511
12	171	487
13	179	462
14	189	441
15	198	420
16	203	394
17	212	377
18	222	362
19	231	347
20	240	332
21	249	317
22	259	304
23	268	290
24	278	278
25	288	266
26	296	252
27	305	240
28	314	227
29	324	216
30	333	204
31	344	193
32	353	181
33	361	170
34	371	159
35	380	148
36	389	136
37	397	125
38	407	114
39	416	104
40	426	93
41	435	83
42	444	72
43	454	61
44	462	51
45	471	40
46	480	30
47	489	20
48	498	10
49	507	0
