GRE Score,GPA,IELTS Score,Research Paper,University Ranking,University Name,Admit Probability,country,course
51,0.5,3.7,55,77,California Institute of Technology (Caltech),0.62,US,CE/CS
163,1.0,8.0,45,66,Los Angeles (UCLA),0.11,US,CE/CS
176,1.2,4.9,7,83,University of Rochester,0.22,US,CE/CS
145,1.7,4.3,37,67,University of Notre Dame,0.58,US,CE/CS
44,2.2,2.3,5,55,University of Virginia,0.04,US,CE/CS
209,3.9,4.4,95,17,University of Chicago,0.93,US,CE/CS
7,0.3,8.2,25,86,Clemson University,0.83,US,CE/CS
65,2.1,5.2,84,87,Princeton University,0.14,US,CE/CS
94,4.0,8.2,80,35,University of Virginia,0.14,US,CE/CS
222,0.3,8.5,66,13,Johns Hopkins University,0.88,US,CE/CS
131,2.7,2.9,92,49,San Diego (UCSD),0.95,US,CE/CS
224,1.1,7.9,37,32,Auburn University.,0.04,US,CE/CS
271,3.9,6.8,28,67,University of Notre Dame,0.84,US,CE/CS
157,0.3,7.7,57,71,University of California,0.59,US,CE/CS
255,1.3,7.5,3,25,Northwestern University,0.61,US,CE/CS
215,1.9,5.5,87,8,University of Pittsburgh,0.24,US,CE/CS
268,2.0,6.7,17,29,Michigan State University,0.67,US,CE/CS
231,2.1,1.0,36,64,University of California,0.1,US,CE/CS
109,2.8,5.3,44,79,University of Colorado Boulder,0.13,US,CE/CS
72,1.6,2.5,56,46,Davis (UC Davis),0.58,US,CE/CS
298,2.4,7.6,76,40,University of Michigan - Ann Arbor,0.45,US,CE/CS
50,2.6,1.3,60,60,Iowa State University,0.77,US,CE/CS
146,3.0,1.7,56,5,Northwestern University,0.47,US,CE/CS
16,3.8,4.2,60,67,Colorado State University,0.77,US,CE/CS
150,3.8,2.8,50,81,Johns Hopkins University,0.35,US,CE/CS
20,1.3,0.3,26,68,University of Virginia,0.25,US,CE/CS
222,0.9,8.7,60,4,The State University of New Jersey,0.56,US,CE/CS
233,1.6,6.3,55,43,Iowa State University,0.1,US,CE/CS
44,2.0,6.7,59,28,University of Oklahoma,0.85,US,CE/CS
255,1.2,1.7,80,57,University of California,0.28,US,CE/CS
245,1.1,3.7,77,75,Purdue University,0.38,US,CE/CS
153,0.8,6.9,54,86,University of Oregon,0.64,US,CE/CS
93,0.3,2.3,19,26,University of Maryland,0.73,US,CE/CS
276,0.6,2.3,62,97,Georgia Institute of Technology,0.21,US,CE/CS
253,2.4,5.0,38,3,University of Wisconsin-Madison,0.41,US,CE/CS
59,0.8,6.7,53,33,University of Kansas,0.81,US,CE/CS
254,2.6,7.9,57,46,Massachusetts Institute of Technology (MIT),0.79,US,CE/CS
102,2.6,3.3,12,18,Florida State University,0.02,US,CE/CS
251,1.3,1.7,62,6,University of South Carolina,0.18,US,CE/CS
322,2.3,2.1,50,43,Swiss Federal Institute of Technology (ETH Zurich),0.95,US,CE/CS
340,2.2,4.0,47,72,California Institute of Technology (Caltech),0.05,US,CE/CS
202,0.8,3.2,76,51,Ohio State University,0.94,US,CE/CS
7,1.1,7.9,90,28,University of Delaware,0.95,US,CE/CS
74,3.0,4.9,85,17,Santa Barbara (UCSB),0.96,US,CE/CS
273,1.6,4.5,88,82,University of California,0.0,US,CE/CS
337,3.5,6.1,59,21,Brown University,0.95,US,CE/CS
19,3.5,6.5,26,68,University of Notre Dame,0.27,US,CE/CS
77,0.2,3.5,42,26,College Park,0.4,US,CE/CS
174,0.6,8.2,51,6,University of Washington,0.65,US,CE/CS
89,2.4,7.3,41,87,New York University (NYU),0.84,US,CE/CS
312,1.8,8.5,61,46,Purdue University,0.65,US,CE/CS
32,3.2,6.5,21,25,University of Florida,0.75,US,CE/CS
145,1.9,7.2,11,25,Berkeley,0.92,US,CE/CS
294,2.7,2.0,98,19,University of Chicago,0.01,US,CE/CS
161,2.4,0.8,33,61,Iowa State University,0.79,US,CE/CS
261,3.3,4.1,77,74,University of Pittsburgh,0.73,US,CE/CS
18,1.9,2.7,96,49,Los Angeles (UCLA),0.09,US,CE/CS
255,0.0,3.2,38,15,Vanderbilt University,0.5,US,CE/CS
130,0.3,1.3,90,68,Brown University,0.08,US,CE/CS
75,3.7,4.2,71,70,College Park,0.05,US,CE/CS
3,2.8,1.5,9,16,University of Florida,0.06,US,CE/CS
72,2.4,8.7,80,67,Vanderbilt University,0.53,US,CE/CS
188,3.9,0.7,79,86,Rutgers,0.45,US,CE/CS
30,3.7,8.9,4,15,University of Nebraska-Lincoln,0.77,US,CE/CS
285,1.8,3.6,83,71,Princeton University,0.31,US,CE/CS
324,0.8,8.6,26,52,University of Florida,0.06,US,CE/CS
211,0.1,8.6,17,100,University of Maryland,0.53,US,CE/CS
193,2.7,3.2,2,89,Swiss Federal Institute of Technology (ETH Zurich),0.49,US,CE/CS
129,1.0,8.4,97,50,University of New Hampshire,0.3,US,CE/CS
94,2.0,1.7,45,57,University of Chicago,0.18,US,CE/CS
194,0.3,4.3,6,43,University of Virginia,0.98,US,CE/CS
240,1.7,2.4,77,18,University of Connecticut,0.53,US,CE/CS
210,1.6,9.0,28,91,University of Kansas,0.61,US,CE/CS
122,0.7,2.6,97,76,Johns Hopkins University,0.09,US,CE/CS
