,GRE Score,GPA,IELTS Score,Research Paper,University Ranking,University Name,Admit Probability,country,course
0,51,0.5,3.7,55,77,California Institute of Technology (Caltech),0.62,US,CE/CS
1,163,1.0,8.0,45,66,Los Angeles (UCLA),0.11,US,CE/CS
2,176,1.2,4.9,7,83,University of Rochester,0.22,US,CE/CS
3,145,1.7,4.3,37,67,University of Notre Dame,0.58,US,CE/CS
4,44,2.2,2.3,5,55,University of Virginia,0.04,US,CE/CS
5,209,3.9,4.4,95,17,University of Chicago,0.93,US,CE/CS
6,7,0.3,8.2,25,86,Clemson University,0.83,US,CE/CS
7,65,2.1,5.2,84,87,Princeton University,0.14,US,CE/CS
8,94,4.0,8.2,80,35,University of Virginia,0.14,US,CE/CS
9,222,0.3,8.5,66,13,Johns Hopkins University,0.88,US,CE/CS
10,131,2.7,2.9,92,49,San Diego (UCSD),0.95,US,CE/CS
11,224,1.1,7.9,37,32,Auburn University.,0.04,US,CE/CS
12,271,3.9,6.8,28,67,University of Notre Dame,0.84,US,CE/CS
13,157,0.3,7.7,57,71,University of California,0.59,US,CE/CS
14,255,1.3,7.5,3,25,Northwestern University,0.61,US,CE/CS
15,215,1.9,5.5,87,8,University of Pittsburgh,0.24,US,CE/CS
16,268,2.0,6.7,17,29,Michigan State University,0.67,US,CE/CS
17,231,2.1,1.0,36,64,University of California,0.1,US,CE/CS
18,109,2.8,5.3,44,79,University of Colorado Boulder,0.13,US,CE/CS
19,72,1.6,2.5,56,46,Davis (UC Davis),0.58,US,CE/CS
20,298,2.4,7.6,76,40,University of Michigan - Ann Arbor,0.45,US,CE/CS
21,50,2.6,1.3,60,60,Iowa State University,0.77,US,CE/CS
22,146,3.0,1.7,56,5,Northwestern University,0.47,US,CE/CS
23,16,3.8,4.2,60,67,Colorado State University,0.77,US,CE/CS
24,150,3.8,2.8,50,81,Johns Hopkins University,0.35,US,CE/CS
25,20,1.3,0.3,26,68,University of Virginia,0.25,US,CE/CS
26,222,0.9,8.7,60,4,The State University of New Jersey,0.56,US,CE/CS
27,233,1.6,6.3,55,43,Iowa State University,0.1,US,CE/CS
28,44,2.0,6.7,59,28,University of Oklahoma,0.85,US,CE/CS
29,255,1.2,1.7,80,57,University of California,0.28,US,CE/CS
30,245,1.1,3.7,77,75,Purdue University,0.38,US,CE/CS
31,153,0.8,6.9,54,86,University of Oregon,0.64,US,CE/CS
32,93,0.3,2.3,19,26,University of Maryland,0.73,US,CE/CS
33,276,0.6,2.3,62,97,Georgia Institute of Technology,0.21,US,CE/CS
34,253,2.4,5.0,38,3,University of Wisconsin-Madison,0.41,US,CE/CS
35,59,0.8,6.7,53,33,University of Kansas,0.81,US,CE/CS
36,254,2.6,7.9,57,46,Massachusetts Institute of Technology (MIT),0.79,US,CE/CS
37,102,2.6,3.3,12,18,Florida State University,0.02,US,CE/CS
38,251,1.3,1.7,62,6,University of South Carolina,0.18,US,CE/CS
39,322,2.3,2.1,50,43,Swiss Federal Institute of Technology (ETH Zurich),0.95,US,CE/CS
40,340,2.2,4.0,47,72,California Institute of Technology (Caltech),0.05,US,CE/CS
41,202,0.8,3.2,76,51,Ohio State University,0.94,US,CE/CS
42,7,1.1,7.9,90,28,University of Delaware,0.95,US,CE/CS
43,74,3.0,4.9,85,17,Santa Barbara (UCSB),0.96,US,CE/CS
44,273,1.6,4.5,88,82,University of California,0.0,US,CE/CS
45,337,3.5,6.1,59,21,Brown University,0.95,US,CE/CS
46,19,3.5,6.5,26,68,University of Notre Dame,0.27,US,CE/CS
47,77,0.2,3.5,42,26,College Park,0.4,US,CE/CS
48,174,0.6,8.2,51,6,University of Washington,0.65,US,CE/CS
49,89,2.4,7.3,41,87,New York University (NYU),0.84,US,CE/CS
50,312,1.8,8.5,61,46,Purdue University,0.65,US,CE/CS
51,32,3.2,6.5,21,25,University of Florida,0.75,US,CE/CS
52,145,1.9,7.2,11,25,Berkeley,0.92,US,CE/CS
53,294,2.7,2.0,98,19,University of Chicago,0.01,US,CE/CS
54,161,2.4,0.8,33,61,Iowa State University,0.79,US,CE/CS
55,261,3.3,4.1,77,74,University of Pittsburgh,0.73,US,CE/CS
56,18,1.9,2.7,96,49,Los Angeles (UCLA),0.09,US,CE/CS
57,255,0.0,3.2,38,15,Vanderbilt University,0.5,US,CE/CS
58,130,0.3,1.3,90,68,Brown University,0.08,US,CE/CS
59,75,3.7,4.2,71,70,College Park,0.05,US,CE/CS
60,3,2.8,1.5,9,16,University of Florida,0.06,US,CE/CS
61,72,2.4,8.7,80,67,Vanderbilt University,0.53,US,CE/CS
62,188,3.9,0.7,79,86,Rutgers,0.45,US,CE/CS
63,30,3.7,8.9,4,15,University of Nebraska-Lincoln,0.77,US,CE/CS
64,285,1.8,3.6,83,71,Princeton University,0.31,US,CE/CS
65,324,0.8,8.6,26,52,University of Florida,0.06,US,CE/CS
66,211,0.1,8.6,17,100,University of Maryland,0.53,US,CE/CS
67,193,2.7,3.2,2,89,Swiss Federal Institute of Technology (ETH Zurich),0.49,US,CE/CS
68,129,1.0,8.4,97,50,University of New Hampshire,0.3,US,CE/CS
69,94,2.0,1.7,45,57,University of Chicago,0.18,US,CE/CS
70,194,0.3,4.3,6,43,University of Virginia,0.98,US,CE/CS
71,240,1.7,2.4,77,18,University of Connecticut,0.53,US,CE/CS
72,210,1.6,9.0,28,91,University of Kansas,0.61,US,CE/CS
73,122,0.7,2.6,97,76,Johns Hopkins University,0.09,US,CE/CS
74,136,1.1,6.5,25,92,Texas A&M University,0.92,US,CE/CS
75,290,2.2,7.5,70,8,College Park,0.29,US,CE/CS
76,94,0.1,3.6,87,37,University of California,0.29,US,CE/CS
77,178,0.5,8.1,50,40,California Institute of Technology (Caltech),0.36,US,CE/CS
78,266,2.9,2.4,42,28,University of California,0.49,US,CE/CS
79,300,1.9,1.1,23,56,Vanderbilt University,0.48,US,CE/CS
80,289,0.9,6.8,88,66,Case Western Reserve University,0.22,US,CE/CS
81,224,0.8,2.0,51,48,University of Washington,0.84,US,CE/CS
82,288,3.0,7.9,27,34,Texas A&M University,0.74,US,CE/CS
83,81,1.2,3.2,18,67,Colorado State University,0.19,US,CE/CS
84,129,2.3,2.4,32,29,Emory University,0.15,US,CE/CS
85,273,2.4,3.0,11,80,University of California,0.4,US,CE/CS
86,198,1.6,7.0,74,63,Stanford University,0.55,US,CE/CS
87,228,1.8,6.3,66,91,University of Maryland,0.43,US,CE/CS
88,193,1.7,1.4,60,55,University of Miami,0.71,US,CE/CS
89,257,0.9,1.0,55,19,Auburn University.,0.29,US,CE/CS
90,21,3.9,7.7,48,23,University of South Carolina,0.45,US,CE/CS
91,284,3.3,6.3,95,7,Michigan State University,0.1,US,CE/CS
92,205,0.8,4.2,62,94,University of Pittsburgh,0.25,US,CE/CS
93,108,0.6,6.7,99,60,University of Pittsburgh,0.42,US,CE/CS
94,140,1.1,4.9,88,53,University of California,0.59,US,CE/CS
95,304,1.9,8.0,1,41,Harvard University,0.89,US,CE/CS
96,110,0.2,5.0,83,100,University of Florida,0.91,US,CE/CS
97,170,0.7,1.0,24,37,Los Angeles (UCLA),0.31,US,CE/CS
98,15,2.3,3.0,42,34,University of Minnesota - Twin Cities,0.8,US,CE/CS
99,96,0.2,0.3,70,20,University of California,0.51,US,CE/CS
100,227,3.7,3.3,44,0,University of Virginia,0.68,US,CE/CS
101,304,0.8,5.9,34,45,Colorado State University,0.71,US,CE/CS
102,280,3.6,4.7,5,69,Florida State University,0.59,US,CE/CS
103,140,2.0,8.8,9,73,Massachusetts Institute of Technology (MIT),0.55,US,CE/CS
104,267,3.6,7.9,35,16,Irvine (UCI),0.81,US,CE/CS
105,121,1.4,2.9,29,81,University of Southern California (USC),0.63,US,CE/CS
106,143,1.1,2.4,85,92,University of Florida,0.31,US,CE/CS
107,275,2.7,4.1,50,13,University of California,0.5,US,CE/CS
108,320,2.1,5.0,58,88,University of Colorado Boulder,0.3,US,CE/CS
109,173,0.6,6.7,93,71,University of California,0.63,US,CE/CS
110,140,2.4,1.9,5,38,Boston University,0.95,US,CE/CS
111,104,2.2,7.1,85,30,Auburn University.,0.84,US,CE/CS
112,265,2.7,6.1,73,42,University of Wisconsin-Madison,0.18,US,CE/CS
113,10,3.8,7.7,80,3,University of Maryland,0.18,US,CE/CS
114,130,3.7,8.8,74,42,Texas A&M University,0.24,US,CE/CS
115,111,3.8,5.8,51,5,University of California,0.48,US,CE/CS
116,102,2.4,6.1,65,14,University of Alabama,0.43,US,CE/CS
117,33,2.3,4.4,34,29,University of Virginia,0.19,US,CE/CS
118,296,2.0,2.8,56,5,University of Minnesota - Twin Cities,0.72,US,CE/CS
119,308,1.0,0.5,76,47,George Washington University,0.95,US,CE/CS
120,313,2.1,6.5,8,25,University of Virginia,0.81,US,CE/CS
121,206,3.4,7.4,90,7,University of Arizona,0.2,US,CE/CS
122,323,3.4,1.0,59,47,University of New Hampshire,0.29,US,CE/CS
123,38,3.2,8.0,17,94,University of California,0.73,US,CE/CS
124,173,3.3,8.9,95,79,Purdue University,0.99,US,CE/CS
125,137,3.5,6.1,19,75,Michigan State University,0.58,US,CE/CS
126,284,0.4,3.8,100,11,University of Oregon,0.54,US,CE/CS
127,179,0.0,8.0,92,43,University of Southern California (USC),0.9,US,CE/CS
128,193,1.3,4.7,76,19,University of Iowa,0.3,US,CE/CS
129,172,2.0,3.0,38,15,Riverside,0.76,US,CE/CS
130,304,1.1,3.2,41,83,Emory University,0.63,US,CE/CS
131,161,1.2,6.9,76,22,Case Western Reserve University,0.08,US,CE/CS
132,319,0.7,1.0,61,86,University of Delaware,0.17,US,CE/CS
133,82,3.8,5.7,46,18,University of Nebraska-Lincoln,0.25,US,CE/CS
134,270,2.2,5.1,60,16,Berkeley,0.43,US,CE/CS
135,128,2.3,6.3,43,17,Texas A&M University,0.59,US,CE/CS
136,150,1.4,7.4,71,48,University of Maryland,0.57,US,CE/CS
137,141,0.4,5.1,15,84,University of Miami,0.27,US,CE/CS
138,41,0.4,0.8,83,81,University of California,0.79,US,CE/CS
139,325,0.2,6.7,52,59,University of California,0.87,US,CE/CS
140,210,0.9,4.9,84,8,University of Iowa,0.09,US,CE/CS
141,65,1.5,0.1,70,82,George Washington University,0.77,US,CE/CS
142,24,0.1,0.3,82,16,University of California,0.92,US,CE/CS
143,14,0.2,7.8,39,36,University of Nebraska-Lincoln,0.8,US,CE/CS
144,297,2.8,5.6,1,78,San Diego (UCSD),0.81,US,CE/CS
145,97,1.2,1.8,75,52,Washington University in St. Louis,0.06,US,CE/CS
146,142,1.6,3.7,11,87,University of Pittsburgh,0.98,US,CE/CS
147,70,0.3,5.9,36,87,Pennsylvania State University,0.22,US,CE/CS
148,284,2.6,1.8,61,14,University of Washington,0.59,US,CE/CS
149,263,2.3,3.2,82,100,University of Oregon,0.97,US,CE/CS
150,152,3.9,2.1,47,29,Riverside,0.51,US,CE/CS
151,156,2.6,0.3,68,85,University of California,0.3,US,CE/CS
152,208,1.4,2.6,98,79,University of California,0.9,US,CE/CS
153,46,3.9,6.6,54,21,University of Maryland,0.32,US,CE/CS
154,168,0.8,7.5,74,59,University of California,0.55,US,CE/CS
155,185,2.4,6.7,50,66,California Institute of Technology (Caltech),0.64,US,CE/CS
156,118,2.6,5.8,71,81,University of California,0.0,US,CE/CS
157,196,0.5,4.7,4,16,Princeton University,0.56,US,CE/CS
158,233,2.2,6.6,10,10,University of Minnesota - Twin Cities,0.54,US,CE/CS
159,231,1.0,2.3,60,79,Swiss Federal Institute of Technology (ETH Zurich),0.07,US,CE/CS
160,195,2.4,7.2,37,20,Virginia Tech,0.84,US,CE/CS
161,223,2.8,8.1,57,37,University of Rochester,0.88,US,CE/CS
162,324,2.1,1.6,79,47,University of South Carolina,0.91,US,CE/CS
163,281,3.1,5.1,73,40,University of Florida,0.38,US,CE/CS
164,181,0.2,5.5,9,15,University of Maryland,0.85,US,CE/CS
165,101,0.0,3.8,70,86,Case Western Reserve University,0.16,US,CE/CS
166,62,2.0,6.9,44,39,Riverside,0.28,US,CE/CS
167,259,1.0,4.8,33,83,University of Kansas,0.72,US,CE/CS
168,20,0.3,5.5,100,20,Ohio State University,0.04,US,CE/CS
169,25,0.3,5.9,6,40,University of Connecticut,0.82,US,CE/CS
170,249,0.8,3.2,37,43,Emory University,0.82,US,CE/CS
171,223,3.4,3.7,75,70,Johns Hopkins University,0.19,US,CE/CS
172,165,0.9,5.3,52,89,University of Virginia,0.81,US,CE/CS
173,197,3.9,7.5,17,56,Texas A&M University,0.45,US,CE/CS
174,254,2.8,6.2,55,100,University of Notre Dame,0.78,US,CE/CS
175,231,0.1,8.3,95,100,Pennsylvania State University,0.3,US,CE/CS
176,228,0.7,3.2,75,57,Rutgers,0.87,US,CE/CS
177,214,0.2,0.8,3,93,University of Michigan - Ann Arbor,0.16,US,CE/CS
178,132,1.6,0.6,92,69,University of California,0.31,US,CE/CS
179,315,1.9,1.9,56,19,University of Pittsburgh,0.05,US,CE/CS
180,63,1.3,0.7,49,62,Stanford University,0.52,US,CE/CS
181,85,1.5,5.8,76,90,San Francisco (UCSF),0.91,US,CE/CS
182,189,3.4,6.3,76,43,Columbia University,0.35,US,CE/CS
183,338,2.9,3.8,25,39,University of Nebraska-Lincoln,0.84,US,CE/CS
184,114,3.4,0.0,48,98,University of Cincinnati,0.35,US,CE/CS
185,5,2.3,2.9,52,35,Davis (UC Davis),0.02,US,CE/CS
186,209,2.9,1.8,8,10,Johns Hopkins University,0.28,US,CE/CS
187,166,3.8,8.6,81,84,University of Colorado Boulder,0.42,US,CE/CS
188,299,2.1,7.8,62,87,University of Iowa,0.13,US,CE/CS
189,116,3.2,6.8,12,31,Rice University,0.33,US,CE/CS
190,309,2.1,8.2,54,2,Rice University,0.54,US,CE/CS
191,327,3.4,2.2,74,68,Rice University,0.57,US,CE/CS
192,114,3.7,2.2,93,96,University of Arizona,0.03,US,CE/CS
193,265,3.8,5.9,56,59,Harvard University,0.87,US,CE/CS
194,51,3.3,5.1,34,84,University of California,0.58,US,CE/CS
195,334,0.9,4.5,30,78,University of Rochester,0.04,US,CE/CS
196,236,1.3,6.8,74,25,University of Minnesota - Twin Cities,0.43,US,CE/CS
197,313,1.6,4.4,52,46,University of Nebraska-Lincoln,0.74,US,CE/CS
198,187,3.7,4.4,32,77,University of Miami,0.03,US,CE/CS
199,340,3.4,5.4,30,3,University of Cincinnati,0.41,US,CE/CS
200,194,2.0,7.4,61,76,Stanford University,0.13,US,CE/CS
201,232,2.5,4.5,85,6,Virginia Tech,0.49,US,CE/CS
202,227,3.3,0.7,69,92,Stanford University,0.35,US,CE/CS
203,298,2.2,5.3,26,31,Michigan State University,0.06,US,CE/CS
204,43,3.8,5.3,35,78,Davis (UC Davis),0.51,US,CE/CS
205,221,1.8,4.2,33,41,Iowa State University,0.91,US,CE/CS
206,265,1.7,5.1,7,35,University of New Hampshire,0.21,US,CE/CS
207,85,1.2,1.6,24,65,Virginia Tech,0.78,US,CE/CS
208,75,0.0,7.9,87,60,San Francisco (UCSF),0.34,US,CE/CS
209,126,2.9,4.8,44,94,University of Miami,0.62,US,CE/CS
210,219,2.3,5.9,35,90,University of North Carolina at Chapel Hill,0.19,US,CE/CS
211,100,1.0,2.9,37,41,University of Oregon,0.42,US,CE/CS
212,228,2.1,8.8,76,76,University of Connecticut,0.65,US,CE/CS
213,234,2.4,8.5,61,22,University of Chicago,0.03,US,CE/CS
214,124,2.3,7.0,16,78,University of Pennsylvania,0.79,US,CE/CS
215,292,1.0,1.7,23,48,Rice University,0.21,US,CE/CS
216,126,0.9,6.3,1,4,Ohio State University,0.93,US,CE/CS
217,265,3.5,2.0,25,33,University of Oregon,0.35,US,CE/CS
218,127,0.7,2.9,43,47,San Francisco (UCSF),0.7,US,CE/CS
219,30,2.0,4.3,71,76,University of Wisconsin-Madison,0.29,US,CE/CS
220,264,4.0,6.3,100,29,University of Miami,0.41,US,CE/CS
221,75,0.4,6.6,18,40,University of Iowa,0.62,US,CE/CS
222,331,2.6,8.8,97,79,Virginia Tech,0.5,US,CE/CS
223,191,3.8,0.4,92,88,Boston University,0.55,US,CE/CS
224,271,1.6,2.1,20,57,University of California,0.26,US,CE/CS
225,330,1.5,7.1,43,5,University of California,0.45,US,CE/CS
226,63,0.9,8.7,30,7,University of North Carolina at Chapel Hill,0.75,US,CE/CS
227,143,0.2,1.8,75,60,Stanford University,0.18,US,CE/CS
228,163,3.0,7.7,66,93,Los Angeles (UCLA),0.97,US,CE/CS
229,163,2.1,7.0,37,82,Brown University,0.56,US,CE/CS
